n,sigma_minus_n,factorization
858,2.34965,"2 × 3 × 11 × 13"
859,1.00116,"859"
860,2.14884,"2^2 × 5 × 43"
861,1.56098,"3 × 7 × 41"
862,1.50348,"2 × 431"
863,1.00116,"863"
864,2.91667,"2^5 × 3^3"
865,1.20694,"5 × 173"
866,1.50346,"2 × 433"
867,1.41638,"3 × 17^2"
868,2.06452,"2^2 × 7 × 31"
869,1.10472,"11 × 79"
870,2.48276,"2 × 3 × 5 × 29"
871,1.093,"13 × 67"
872,1.8922,"2^3 × 109"
873,1.45934,"3^2 × 97"
874,1.6476,"2 × 19 × 23"
875,1.42629,"5^3 × 7"
876,2.3653,"2^2 × 3 × 73"
877,1.00114,"877"
878,1.50342,"2 × 439"
879,1.33788,"3 × 293"
880,2.53636,"2^4 × 5 × 11"
881,1.00114,"881"
882,2.52041,"2 × 3^2 × 7^2"
883,1.00113,"883"
884,1.99548,"2^2 × 13 × 17"
885,1.62712,"3 × 5 × 59"
886,1.50339,"2 × 443"
887,1.00113,"887"
888,2.56757,"2^3 × 3 × 37"
889,1.15186,"7 × 127"
890,1.82022,"2 × 5 × 89"
891,1.62963,"3^4 × 11"
892,1.75785,"2^2 × 223"
893,1.07503,"19 × 47"
894,2.01342,"2 × 3 × 149"
895,1.2067,"5 × 179"
896,2.27679,"2^7 × 7"
897,1.49833,"3 × 13 × 23"
898,1.50334,"2 × 449"
899,1.06785,"29 × 31"
900,3.13444,"2^2 × 3^2 × 5^2"
901,1.0788,"17 × 53"
902,1.67627,"2 × 11 × 41"
903,1.55925,"3 × 7 × 43"
904,1.89159,"2^3 × 113"
905,1.20663,"5 × 181"
906,2.01325,"2 × 3 × 151"
907,1.0011,"907"
908,1.75771,"2^2 × 227"
909,1.45875,"3^2 × 101"
910,2.21538,"2 × 5 × 7 × 13"
911,1.0011,"911"
912,2.7193,"2^4 × 3 × 19"
913,1.10405,"11 × 83"
914,1.50328,"2 × 457"
915,1.62623,"3 × 5 × 61"
916,1.75764,"2^2 × 229"
917,1.15158,"7 × 131"
918,2.35294,"2 × 3^3 × 17"
919,1.00109,"919"
920,2.34783,"2^3 × 5 × 23"
921,1.33768,"3 × 307"
922,1.50325,"2 × 461"
923,1.09209,"13 × 71"
924,2.90909,"2^2 × 3 × 7 × 11"
925,1.27351,"5^2 × 37"
926,1.50324,"2 × 463"
927,1.45847,"3^2 × 103"
928,2.03664,"2^5 × 29"
929,1.00108,"929"
930,2.47742,"2 × 3 × 5 × 31"
931,1.22449,"7^2 × 19"
932,1.75751,"2^2 × 233"
933,1.33762,"3 × 311"
934,1.50321,"2 × 467"
935,1.3861,"5 × 11 × 17"
936,2.91667,"2^3 × 3^2 × 13"
937,1.00107,"937"
938,1.73987,"2 × 7 × 67"
939,1.33759,"3 × 313"
940,2.14468,"2^2 × 5 × 47"
941,1.00106,"941"
942,2.01274,"2 × 3 × 157"
943,1.06893,"23 × 41"
944,1.97034,"2^4 × 59"
945,2.03175,"3^3 × 5 × 7"
946,1.67442,"2 × 11 × 43"
947,1.00106,"947"
948,2.36287,"2^2 × 3 × 79"
949,1.09168,"13 × 73"
950,1.95789,"2 × 5^2 × 19"
951,1.33754,"3 × 317"
952,2.26891,"2^3 × 7 × 17"
953,1.00105,"953"
954,2.20755,"2 × 3^2 × 53"
955,1.20628,"5 × 191"
956,1.75732,"2^2 × 239"
957,1.5047,"3 × 11 × 29"
958,1.50313,"2 × 479"
959,1.1512,"7 × 137"
960,3.175,"2^6 × 3 × 5"
961,1.0333,"31^2"
962,1.65904,"2 × 13 × 37"
963,1.45794,"3^2 × 107"
964,1.75726,"2^2 × 241"
965,1.20622,"5 × 193"
966,2.38509,"2 × 3 × 7 × 23"
967,1.00103,"967"
968,2.06095,"2^3 × 11^2"
969,1.48607,"3 × 17 × 19"
970,1.81856,"2 × 5 × 97"
971,1.00103,"971"
972,2.6214,"2^2 × 3^5"
973,1.15108,"7 × 139"
974,1.50308,"2 × 487"
975,1.78051,"3 × 5^2 × 13"
976,1.96926,"2^4 × 61"
977,1.00102,"977"
978,2.01227,"2 × 3 × 163"
979,1.10317,"11 × 89"
980,2.44286,"2^2 × 5 × 7^2"
981,1.4577,"3^2 × 109"
982,1.50305,"2 × 491"
983,1.00102,"983"
984,2.56098,"2^3 × 3 × 41"
985,1.20609,"5 × 197"
986,1.643,"2 × 17 × 29"
987,1.55623,"3 × 7 × 47"
988,1.98381,"2^2 × 13 × 19"
989,1.06775,"23 × 43"
990,2.83636,"2 × 3^2 × 5 × 11"
991,1.00101,"991"
992,2.03226,"2^5 × 31"
993,1.33736,"3 × 331"
994,1.73843,"2 × 7 × 71"
995,1.20603,"5 × 199"
996,2.36145,"2^2 × 3 × 83"
997,1.001,"997"
998,1.50301,"2 × 499"
999,1.52152,"3^3 × 37"
1000,2.34,"2^3 × 5^3"
1001,1.34266,"7 × 11 × 13"
1002,2.01198,"2 × 3 × 167"
1003,1.07677,"17 × 59"
1004,1.75697,"2^2 × 251"
1005,1.62388,"3 × 5 × 67"
1006,1.50298,"2 × 503"
1007,1.07249,"19 × 53"
1008,3.19841,"2^4 × 3^2 × 7"
1009,1.00099,"1009"
1010,1.81782,"2 × 5 × 101"
1011,1.33729,"3 × 337"
1012,1.99209,"2^2 × 11 × 23"
1013,1.00099,"1013"
1014,2.16568,"2 × 3 × 13^2"
1015,1.41872,"5 × 7 × 29"
1016,1.88976,"2^3 × 127"
1017,1.45723,"3^2 × 113"
1018,1.50295,"2 × 509"
1019,1.00098,"1019"
1020,2.96471,"2^2 × 3 × 5 × 17"
1021,1.00098,"1021"
1022,1.73777,"2 × 7 × 73"
1023,1.50147,"3 × 11 × 31"
1024,1.99902,"2^10"
1025,1.27024,"5^2 × 41"
1026,2.33918,"2 × 3^3 × 19"
1027,1.09056,"13 × 79"
1028,1.75681,"2^2 × 257"
1029,1.55491,"3 × 7^3"
1030,1.81748,"2 × 5 × 103"
1031,1.00097,"1031"
1032,2.55814,"2^3 × 3 × 43"
1033,1.00097,"1033"
1034,1.67118,"2 × 11 × 47"
1035,1.8087,"3^2 × 5 × 23"
1036,2.05405,"2^2 × 7 × 37"
1037,1.07618,"17 × 61"
1038,2.01156,"2 × 3 × 173"
1039,1.00096,"1039"
1040,2.50385,"2^4 × 5 × 13"
1041,1.33718,"3 × 347"
1042,1.50288,"2 × 521"
1043,1.15053,"7 × 149"
1044,2.61494,"2^2 × 3^2 × 29"
1045,1.37799,"5 × 11 × 19"
1046,1.50287,"2 × 523"
1047,1.33715,"3 × 349"
1048,1.88931,"2^3 × 131"
1049,1.00095,"1049"
1050,2.83429,"2 × 3 × 5^2 × 7"
1051,1.00095,"1051"
1052,1.75665,"2^2 × 263"
1053,1.60874,"3^4 × 13"
1054,1.63947,"2 × 17 × 31"
1055,1.20569,"5 × 211"
1056,2.86364,"2^5 × 3 × 11"
1057,1.15043,"7 × 151"
1058,1.56805,"2 × 23^2"
1059,1.33711,"3 × 353"
1060,2.13962,"2^2 × 5 × 53"
1061,1.00094,"1061"
1062,2.20339,"2 × 3^2 × 59"
1063,1.00094,"1063"
1064,2.25564,"2^3 × 7 × 19"
1065,1.62254,"3 × 5 × 71"
1066,1.65478,"2 × 13 × 41"
1067,1.10216,"11 × 97"
1068,2.35955,"2^2 × 3 × 89"
1069,1.00094,"1069"
1070,1.81682,"2 × 5 × 107"
1071,1.7479,"3^2 × 7 × 17"
1072,1.96642,"2^4 × 67"
1073,1.06244,"29 × 37"
1074,2.01117,"2 × 3 × 179"
1075,1.26884,"5^2 × 43"
1076,1.75651,"2^2 × 269"
1077,1.33705,"3 × 359"
1078,1.90353,"2 × 7^2 × 11"
1079,1.0899,"13 × 83"
1080,3.33333,"2^3 × 3^3 × 5"
1081,1.06568,"23 × 47"
1082,1.50277,"2 × 541"
1083,1.4072,"3 × 19^2"
1084,1.75646,"2^2 × 271"
1085,1.41567,"5 × 7 × 31"
1086,2.01105,"2 × 3 × 181"
1087,1.00092,"1087"
1088,2.1011,"2^6 × 17"
1089,1.5877,"3^2 × 11^2"
1090,1.81651,"2 × 5 × 109"
1091,1.00092,"1091"
1092,2.87179,"2^2 × 3 × 7 × 13"
1093,1.00091,"1093"
1094,1.50274,"2 × 547"
1095,1.62192,"3 × 5 × 73"
1096,1.88869,"2^3 × 137"
1097,1.00091,"1097"
1098,2.20219,"2 × 3^2 × 61"
1099,1.15014,"7 × 157"
1100,2.36727,"2^2 × 5^2 × 11"
1101,1.33697,"3 × 367"
1102,1.63339,"2 × 19 × 29"
1103,1.00091,"1103"
1104,2.69565,"2^4 × 3 × 23"
1105,1.36833,"5 × 13 × 17"
1106,1.73599,"2 × 7 × 79"
1107,1.51762,"3^3 × 41"
1108,1.75632,"2^2 × 277"
1109,1.0009,"1109"
1110,2.46486,"2 × 3 × 5 × 37"
1111,1.10171,"11 × 101"
1112,1.88849,"2^3 × 139"
1113,1.55256,"3 × 7 × 53"
1114,1.50269,"2 × 557"
1115,1.20538,"5 × 223"
1116,2.60932,"2^2 × 3^2 × 31"
1117,1.0009,"1117"
1118,1.65295,"2 × 13 × 43"
1119,1.33691,"3 × 373"
1120,2.7,"2^5 × 5 × 7"
1121,1.07047,"19 × 59"
1122,2.31016,"2 × 3 × 11 × 17"
1123,1.00089,"1123"
1124,1.75623,"2^2 × 281"
1125,1.80267,"3^2 × 5^3"
1126,1.50266,"2 × 563"
1127,1.21384,"7^2 × 23"
1128,2.55319,"2^3 × 3 × 47"
1129,1.00089,"1129"
1130,1.81593,"2 × 5 × 113"
1131,1.48541,"3 × 13 × 29"
1132,1.75618,"2^2 × 283"
1133,1.1015,"11 × 103"
1134,2.56085,"2 × 3^4 × 7"
1135,1.20529,"5 × 227"
1136,1.96479,"2^4 × 71"
1137,1.33685,"3 × 379"
1138,1.50264,"2 × 569"
1139,1.07463,"17 × 67"
1140,2.94737,"2^2 × 3 × 5 × 19"
1141,1.14987,"7 × 163"
1142,1.50263,"2 × 571"
1143,1.45582,"3^2 × 127"
1144,2.2028,"2^3 × 11 × 13"
1145,1.20524,"5 × 229"
1146,2.01047,"2 × 3 × 191"
1147,1.06016,"31 × 37"
1148,2.04878,"2^2 × 7 × 41"
1149,1.33681,"3 × 383"
1150,1.94087,"2 × 5^2 × 23"
1151,1.00087,"1151"
1152,2.8776,"2^7 × 3^2"
1153,1.00087,"1153"
1154,1.5026,"2 × 577"
1155,1.99481,"3 × 5 × 7 × 11"
1156,1.859,"2^2 × 17^2"
1157,1.08902,"13 × 89"
1158,2.01036,"2 × 3 × 193"
1159,1.06989,"19 × 61"
1160,2.32759,"2^3 × 5 × 29"
1161,1.51593,"3^3 × 43"
1162,1.73494,"2 × 7 × 83"
1163,1.00086,"1163"
1164,2.35739,"2^2 × 3 × 97"
1165,1.20515,"5 × 233"
1166,1.66724,"2 × 11 × 53"
1167,1.33676,"3 × 389"
1168,1.96404,"2^4 × 73"
1169,1.1497,"7 × 167"
1170,2.8,"2 × 3^2 × 5 × 13"
1171,1.00085,"1171"
1172,1.75597,"2^2 × 293"
1173,1.47315,"3 × 17 × 23"
1174,1.50256,"2 × 587"
1175,1.26638,"5^2 × 47"
1176,2.90816,"2^3 × 3 × 7^2"
1177,1.1011,"11 × 107"
1178,1.62988,"2 × 19 × 31"
1179,1.45547,"3^2 × 131"
1180,2.13559,"2^2 × 5 × 59"
1181,1.00085,"1181"
1182,2.01015,"2 × 3 × 197"
1183,1.23753,"7 × 13^2"
1184,2.02196,"2^5 × 37"
1185,1.62025,"3 × 5 × 79"
1186,1.50253,"2 × 593"
1187,1.00084,"1187"
1188,2.82828,"2^2 × 3^3 × 11"
1189,1.05971,"29 × 41"
1190,2.17815,"2 × 5 × 7 × 17"
1191,1.33669,"3 × 397"
1192,1.88758,"2^3 × 149"
1193,1.00084,"1193"
1194,2.01005,"2 × 3 × 199"
1195,1.20502,"5 × 239"
1196,1.96656,"2^2 × 13 × 23"
1197,1.73768,"3^2 × 7 × 19"
1198,1.5025,"2 × 599"
1199,1.10092,"11 × 109"
1200,3.20333,"2^4 × 3 × 5^2"
1201,1.00083,"1201"
1202,1.5025,"2 × 601"
1203,1.33666,"3 × 401"
1204,2.04651,"2^2 × 7 × 43"
1205,1.20498,"5 × 241"
1206,2.199,"2 × 3^2 × 67"
1207,1.07374,"17 × 71"
1208,1.88742,"2^3 × 151"
1209,1.48222,"3 × 13 × 31"
1210,1.97851,"2 × 5 × 11^2"
1211,1.14946,"7 × 173"
1212,2.35644,"2^2 × 3 × 101"
1213,1.00082,"1213"
1214,1.50247,"2 × 607"
1215,1.79753,"3^5 × 5"
1216,2.08882,"2^6 × 19"
1217,1.00082,"1217"
1218,2.36453,"2 × 3 × 7 × 29"
1219,1.06317,"23 × 53"
1220,2.13443,"2^2 × 5 × 61"
1221,1.49386,"3 × 11 × 37"
1222,1.64975,"2 × 13 × 47"
1223,1.00082,"1223"
1224,2.86765,"2^3 × 3^2 × 17"
1225,1.44245,"5^2 × 7^2"
1226,1.50245,"2 × 613"
1227,1.33659,"3 × 409"
1228,1.7557,"2^2 × 307"
1229,1.00081,"1229"
1230,2.45854,"2 × 3 × 5 × 41"
1231,1.00081,"1231"
1232,2.41558,"2^4 × 7 × 11"
1233,1.45499,"3^2 × 137"
1234,1.50243,"2 × 617"
1235,1.36032,"5 × 13 × 19"
1236,2.35599,"2^2 × 3 × 103"
1237,1.00081,"1237"
1238,1.50242,"2 × 619"
1239,1.54964,"3 × 7 × 59"
1240,2.32258,"2^3 × 5 × 31"
1241,1.07333,"17 × 73"
1242,2.31884,"2 × 3^3 × 23"
1243,1.10056,"11 × 113"
1244,1.75563,"2^2 × 311"
1245,1.61928,"3 × 5 × 83"
1246,1.73355,"2 × 7 × 89"
1247,1.05854,"29 × 43"
1248,2.82692,"2^5 × 3 × 13"
1249,1.0008,"1249"
1250,1.8744,"2 × 5^4"
1251,1.45484,"3^2 × 139"
1252,1.75559,"2^2 × 313"
1253,1.14924,"7 × 179"
1254,2.29665,"2 × 3 × 11 × 19"
1255,1.20478,"5 × 251"
1256,1.88694,"2^3 × 157"
1257,1.33652,"3 × 419"
1258,1.63116,"2 × 17 × 37"
1259,1.00079,"1259"
1260,3.46667,"2^2 × 3^2 × 5 × 7"
1261,1.08803,"13 × 97"
1262,1.50238,"2 × 631"
1263,1.3365,"3 × 421"
1264,1.96203,"2^4 × 79"
1265,1.36601,"5 × 11 × 23"
1266,2.00948,"2 × 3 × 211"
1267,1.14917,"7 × 181"
1268,1.75552,"2^2 × 317"
1269,1.513,"3^3 × 47"
1270,1.81417,"2 × 5 × 127"
1271,1.05744,"31 × 41"
1272,2.54717,"2^3 × 3 × 53"
1273,1.06834,"19 × 67"
1274,1.87912,"2 × 7^2 × 13"
1275,1.75059,"3 × 5^2 × 17"
1276,1.97492,"2^2 × 11 × 29"
1277,1.00078,"1277"
1278,2.19718,"2 × 3^2 × 71"
1279,1.00078,"1279"
1280,2.39531,"2^8 × 5"
1281,1.54879,"3 × 7 × 61"
1282,1.50234,"2 × 641"
1283,1.00078,"1283"
1284,2.35514,"2^2 × 3 × 107"
1285,1.20467,"5 × 257"
1286,1.50233,"2 × 643"
1287,1.69697,"3^2 × 11 × 13"
1288,2.23602,"2^3 × 7 × 23"
1289,1.00078,"1289"
1290,2.45581,"2 × 3 × 5 × 43"
1291,1.00077,"1291"
1292,1.95046,"2^2 × 17 × 19"
1293,1.33643,"3 × 431"
1294,1.50232,"2 × 647"
1295,1.40849,"5 × 7 × 37"
1296,2.89429,"2^4 × 3^4"
1297,1.00077,"1297"
1298,1.6641,"2 × 11 × 59"
1299,1.33641,"3 × 433"
1300,2.33692,"2^2 × 5^2 × 13"
1301,1.00077,"1301"
1302,2.35945,"2 × 3 × 7 × 31"
1303,1.00077,"1303"
1304,1.8865,"2^3 × 163"
1305,1.7931,"3^2 × 5 × 29"
1306,1.5023,"2 × 653"
1307,1.00077,"1307"
1308,2.35474,"2^2 × 3 × 109"
1309,1.32009,"7 × 11 × 17"
1310,1.81374,"2 × 5 × 131"
1311,1.46453,"3 × 19 × 23"
1312,2.01677,"2^5 × 41"
1313,1.08759,"13 × 101"
1314,2.19635,"2 × 3^2 × 73"
1315,1.20456,"5 × 263"
1316,2.04255,"2^2 × 7 × 47"
1317,1.33637,"3 × 439"
1318,1.50228,"2 × 659"
1319,1.00076,"1319"
1320,3.27273,"2^3 × 3 × 5 × 11"
1321,1.00076,"1321"
1322,1.50227,"2 × 661"
1323,1.72336,"3^3 × 7^2"
1324,1.75529,"2^2 × 331"
1325,1.2634,"5^2 × 53"
1326,2.28054,"2 × 3 × 13 × 17"
1327,1.00075,"1327"
1328,1.96084,"2^4 × 83"
1329,1.33634,"3 × 443"
1330,2.16541,"2 × 5 × 7 × 19"
1331,1.09992,"11^3"
1332,2.5961,"2^2 × 3^2 × 37"
1333,1.05626,"31 × 43"
1334,1.61919,"2 × 23 × 29"
1335,1.61798,"3 × 5 × 89"
1336,1.88623,"2^3 × 167"
1337,1.14884,"7 × 191"
1338,2.00897,"2 × 3 × 223"
1339,1.08738,"13 × 103"
1340,2.13134,"2^2 × 5 × 67"
1341,1.45414,"3^2 × 149"
1342,1.66319,"2 × 11 × 61"
1343,1.07223,"17 × 79"
1344,3.02381,"2^6 × 3 × 7"
1345,1.20446,"5 × 269"
1346,1.50223,"2 × 673"
1347,1.3363,"3 × 449"
1348,1.75519,"2^2 × 337"
1349,1.06746,"19 × 71"
1350,2.75556,"2 × 3^3 × 5^2"
1351,1.14878,"7 × 193"
1352,2.03033,"2^3 × 13^2"
1353,1.49002,"3 × 11 × 41"
1354,1.50222,"2 × 677"
1355,1.20443,"5 × 271"
1356,2.35398,"2^2 × 3 × 113"
1357,1.06116,"23 × 59"
1358,1.73196,"2 × 7 × 97"
1359,1.45401,"3^2 × 151"
1360,2.46176,"2^4 × 5 × 17"
1361,1.00073,"1361"
1362,2.00881,"2 × 3 × 227"
1363,1.05649,"29 × 47"
1364,1.97067,"2^2 × 11 × 31"
1365,1.96923,"3 × 5 × 7 × 13"
1366,1.5022,"2 × 683"
1367,1.00073,"1367"
1368,2.85088,"2^3 × 3^2 × 19"
1369,1.02776,"37^2"
1370,1.81314,"2 × 5 × 137"
1371,1.33625,"3 × 457"
1372,2.04082,"2^2 × 7^3"
1373,1.00073,"1373"
1374,2.00873,"2 × 3 × 229"
1375,1.36145,"5^3 × 11"
1376,2.01453,"2^5 × 43"
1377,1.5817,"3^4 × 17"
1378,1.64586,"2 × 13 × 53"
1379,1.14866,"7 × 197"
1380,2.92174,"2^2 × 3 × 5 × 23"
1381,1.00072,"1381"
1382,1.50217,"2 × 691"
1383,1.33623,"3 × 461"
1384,1.88584,"2^3 × 173"
1385,1.20433,"5 × 277"
1386,2.7013,"2 × 3^2 × 7 × 11"
1387,1.06705,"19 × 73"
1388,1.75504,"2^2 × 347"
1389,1.33621,"3 × 463"
1390,1.81295,"2 × 5 × 139"
1391,1.08699,"13 × 107"
1392,2.67241,"2^4 × 3 × 29"
1393,1.1486,"7 × 199"
1394,1.62697,"2 × 17 × 41"
1395,1.78925,"3^2 × 5 × 31"
1396,1.75501,"2^2 × 349"
1397,1.0995,"11 × 127"
1398,2.00858,"2 × 3 × 233"
1399,1.00071,"1399"
1400,2.65714,"2^3 × 5^2 × 7"
1401,1.33619,"3 × 467"
1402,1.50214,"2 × 701"
1403,1.06058,"23 × 61"
1404,2.79202,"2^2 × 3^3 × 13"
1405,1.20427,"5 × 281"
1406,1.62162,"2 × 19 × 37"
1407,1.54655,"3 × 7 × 67"
1408,2.1733,"2^7 × 11"
1409,1.00071,"1409"
1410,2.45106,"2 × 3 × 5 × 47"
1411,1.07158,"17 × 83"
1412,1.75496,"2^2 × 353"
1413,1.45364,"3^2 × 157"
1414,1.73126,"2 × 7 × 101"
1415,1.20424,"5 × 283"
1416,2.54237,"2^3 × 3 × 59"
1417,1.0868,"13 × 109"
1418,1.50212,"2 × 709"
1419,1.48837,"3 × 11 × 43"
1420,2.12958,"2^2 × 5 × 71"
1421,1.20338,"7^2 × 29"
1422,2.19409,"2 × 3^2 × 79"
1423,1.0007,"1423"
1424,1.95927,"2^4 × 89"
1425,1.74035,"3 × 5^2 × 19"
1426,1.61571,"2 × 23 × 31"
1427,1.0007,"1427"
1428,2.82353,"2^2 × 3 × 7 × 17"
1429,1.0007,"1429"
1430,2.11469,"2 × 5 × 11 × 13"
1431,1.50943,"3^3 × 53"
1432,1.88547,"2^3 × 179"
1433,1.0007,"1433"
1434,2.00837,"2 × 3 × 239"
1435,1.40488,"5 × 7 × 41"
1436,1.75487,"2^2 × 359"
1437,1.33612,"3 × 479"
1438,1.50209,"2 × 719"
1439,1.00069,"1439"
1440,3.4125,"2^5 × 3^2 × 5"
1441,1.09924,"11 × 131"
1442,1.73093,"2 × 7 × 103"
1443,1.47471,"3 × 13 × 37"
1444,1.84695,"2^2 × 19^2"
1445,1.27474,"5 × 17^2"
1446,2.0083,"2 × 3 × 241"
1447,1.00069,"1447"
1448,1.88536,"2^3 × 181"
1449,1.72257,"3^2 × 7 × 23"
1450,1.92414,"2 × 5^2 × 29"
1451,1.00069,"1451"
1452,2.56474,"2^2 × 3 × 11^2"
1453,1.00069,"1453"
1454,1.50206,"2 × 727"
1455,1.61649,"3 × 5 × 97"
1456,2.38462,"2^4 × 7 × 13"
1457,1.05422,"31 × 47"
1458,2.24897,"2 × 3^6"
1459,1.00069,"1459"
1460,2.12877,"2^2 × 5 × 73"
1461,1.33607,"3 × 487"
1462,1.62517,"2 × 17 × 43"
1463,1.31237,"7 × 11 × 19"
1464,2.54098,"2^3 × 3 × 61"
1465,1.2041,"5 × 293"
1466,1.50205,"2 × 733"
1467,1.45331,"3^2 × 163"
1468,1.75477,"2^2 × 367"
1469,1.08645,"13 × 113"
1470,2.79184,"2 × 3 × 5 × 7^2"
1471,1.00068,"1471"
1472,2.07065,"2^6 × 23"
1473,1.33605,"3 × 491"
1474,1.66079,"2 × 11 × 67"
1475,1.26102,"5^2 × 59"
1476,2.58943,"2^2 × 3^2 × 41"
1477,1.14827,"7 × 211"
1478,1.50203,"2 × 739"
1479,1.46045,"3 × 17 × 29"
1480,2.31081,"2^3 × 5 × 37"
1481,1.00068,"1481"
1482,2.26721,"2 × 3 × 13 × 19"
1483,1.00067,"1483"
1484,2.03774,"2^2 × 7 × 53"
1485,1.93939,"3^3 × 5 × 11"
1486,1.50202,"2 × 743"
1487,1.00067,"1487"
1488,2.66667,"2^4 × 3 × 31"
1489,1.00067,"1489"
1490,1.81208,"2 × 5 × 149"
1491,1.54527,"3 × 7 × 71"
1492,1.75469,"2^2 × 373"
1493,1.00067,"1493"
1494,2.19277,"2 × 3^2 × 83"
1495,1.34849,"5 × 13 × 23"
1496,2.16578,"2^3 × 11 × 17"
1497,1.33601,"3 × 499"
1498,1.73031,"2 × 7 × 107"
1499,1.00067,"1499"
1500,2.912,"2^2 × 3 × 5^3"
1501,1.06596,"19 × 79"
1502,1.502,"2 × 751"
1503,1.45309,"3^2 × 167"
1504,2.01064,"2^5 × 47"
1505,1.40332,"5 × 7 × 43"
1506,2.00797,"2 × 3 × 251"
1507,1.09887,"11 × 137"
1508,1.9496,"2^2 × 13 × 29"
1509,1.33598,"3 × 503"
1510,1.81192,"2 × 5 × 151"
1511,1.00066,"1511"
1512,3.1746,"2^3 × 3^3 × 7"
1513,1.07072,"17 × 89"
1514,1.50198,"2 × 757"
1515,1.61584,"3 × 5 × 101"
1516,1.75462,"2^2 × 379"
1517,1.05208,"37 × 41"
1518,2.27668,"2 × 3 × 11 × 23"
1519,1.20079,"7^2 × 31"
1520,2.44737,"2^4 × 5 × 19"
1521,1.5641,"3^2 × 13^2"
1522,1.50197,"2 × 761"
1523,1.00066,"1523"
1524,2.35171,"2^2 × 3 × 127"
1525,1.26033,"5^2 × 61"
1526,1.73001,"2 × 7 × 109"
1527,1.33595,"3 × 509"
1528,1.88482,"2^3 × 191"
1529,1.09876,"11 × 139"
1530,2.75294,"2 × 3^2 × 5 × 17"
1531,1.00065,"1531"
1532,1.75457,"2^2 × 383"
1533,1.54468,"3 × 7 × 73"
1534,1.64276,"2 × 13 × 59"
1535,1.20391,"5 × 307"
1536,2.66406,"2^9 × 3"
1537,1.054,"29 × 53"
1538,1.50195,"2 × 769"
1539,1.57245,"3^4 × 19"
1540,2.61818,"2^2 × 5 × 7 × 11"
1541,1.05905,"23 × 67"
1542,2.00778,"2 × 3 × 257"
1543,1.00065,"1543"
1544,1.88472,"2^3 × 193"
1545,1.61553,"3 × 5 × 103"
1546,1.50194,"2 × 773"
1547,1.30317,"7 × 13 × 17"
1548,2.58656,"2^2 × 3^2 × 43"
1549,1.00065,"1549"
1550,1.92,"2 × 5^2 × 31"
1551,1.48549,"3 × 11 × 47"
1552,1.95747,"2^4 × 97"
1553,1.00064,"1553"
1554,2.34749,"2 × 3 × 7 × 37"
1555,1.20386,"5 × 311"
1556,1.7545,"2^2 × 389"
1557,1.45279,"3^2 × 173"
1558,1.61746,"2 × 19 × 41"
1559,1.00064,"1559"
1560,3.23077,"2^3 × 3 × 5 × 13"
1561,1.14798,"7 × 223"
1562,1.65941,"2 × 11 × 71"
1563,1.33589,"3 × 521"
1564,1.9335,"2^2 × 17 × 23"
1565,1.20383,"5 × 313"
1566,2.29885,"2 × 3^3 × 29"
1567,1.00064,"1567"
1568,2.29018,"2^5 × 7^2"
1569,1.33588,"3 × 523"
1570,1.81146,"2 × 5 × 157"
1571,1.00064,"1571"
1572,2.35115,"2^2 × 3 × 131"
1573,1.18373,"11^2 × 13"
1574,1.50191,"2 × 787"
1575,2.04698,"3^2 × 5^2 × 7"
1576,1.88452,"2^3 × 197"
1577,1.06531,"19 × 83"
1578,2.0076,"2 × 3 × 263"
1579,1.00063,"1579"
1580,2.12658,"2^2 × 5 × 79"
1581,1.45731,"3 × 17 × 31"
1582,1.72946,"2 × 7 × 113"
1583,1.00063,"1583"
1584,3.05303,"2^4 × 3^2 × 11"
1585,1.20379,"5 × 317"
1586,1.64187,"2 × 13 × 61"
1587,1.39382,"3 × 23^2"
1588,1.75441,"2^2 × 397"
1589,1.14789,"7 × 227"
1590,2.44528,"2 × 3 × 5 × 53"
1591,1.05091,"37 × 43"
1592,1.88442,"2^3 × 199"
1593,1.50659,"3^3 × 59"
1594,1.50188,"2 × 797"
1595,1.35423,"5 × 11 × 29"
1596,2.80702,"2^2 × 3 × 7 × 19"
1597,1.00063,"1597"
1598,1.62203,"2 × 17 × 47"
1599,1.47092,"3 × 13 × 41"
1600,2.46062,"2^6 × 5^2"
1601,1.00062,"1601"
1602,2.19101,"2 × 3^2 × 89"
1603,1.14785,"7 × 229"
1604,1.75436,"2^2 × 401"
1605,1.61495,"3 × 5 × 107"
1606,1.65878,"2 × 11 × 73"
1607,1.00062,"1607"
1608,2.53731,"2^3 × 3 × 67"
1609,1.00062,"1609"
1610,2.14658,"2 × 5 × 7 × 23"
1611,1.45251,"3^2 × 179"
1612,1.94541,"2^2 × 13 × 31"
1613,1.00062,"1613"
1614,2.00743,"2 × 3 × 269"
1615,1.33746,"5 × 17 × 19"
1616,1.95668,"2^4 × 101"
1617,1.69202,"3 × 7^2 × 11"
1618,1.50185,"2 × 809"
1619,1.00062,"1619"
1620,3.13704,"2^2 × 3^4 × 5"
1621,1.00062,"1621"
1622,1.50185,"2 × 811"
1623,1.3358,"3 × 541"
1624,2.21675,"2^3 × 7 × 29"
1625,1.344,"5^3 × 13"
1626,2.00738,"2 × 3 × 271"
1627,1.00061,"1627"
1628,1.96069,"2^2 × 11 × 37"
1629,1.45242,"3^2 × 181"
1630,1.81104,"2 × 5 × 163"
1631,1.14776,"7 × 233"
1632,2.77941,"2^5 × 3 × 17"
