n,sigma_minus_n,factorization
615,1.63902,"3 × 5 × 41"
616,2.33766,"2^3 × 7 × 11"
617,1.00162,"617"
618,2.01942,"2 × 3 × 103"
619,1.00162,"619"
620,2.16774,"2^2 × 5 × 31"
621,1.54589,"3^3 × 23"
622,1.50482,"2 × 311"
623,1.1557,"7 × 89"
624,2.78205,"2^4 × 3 × 13"
625,1.2496,"5^4"
626,1.50479,"2 × 313"
627,1.5311,"3 × 11 × 19"
628,1.76115,"2^2 × 157"
629,1.08744,"17 × 37"
630,2.97143,"2 × 3^2 × 5 × 7"
631,1.00158,"631"
632,1.89873,"2^3 × 79"
633,1.33965,"3 × 211"
634,1.50473,"2 × 317"
635,1.20945,"5 × 127"
636,2.37736,"2^2 × 3 × 53"
637,1.25275,"7^2 × 13"
638,1.69279,"2 × 11 × 29"
639,1.46479,"3^2 × 71"
640,2.39062,"2^7 × 5"
641,1.00156,"641"
642,2.01869,"2 × 3 × 107"
643,1.00156,"643"
644,2.08696,"2^2 × 7 × 23"
645,1.63721,"3 × 5 × 43"
646,1.67183,"2 × 17 × 19"
647,1.00155,"647"
648,2.80093,"2^3 × 3^4"
649,1.1094,"11 × 59"
650,2.00308,"2 × 5^2 × 13"
651,1.57296,"3 × 7 × 31"
652,1.76074,"2^2 × 163"
653,1.00153,"653"
654,2.01835,"2 × 3 × 109"
655,1.20916,"5 × 131"
656,1.98476,"2^4 × 41"
657,1.46423,"3^2 × 73"
658,1.75076,"2 × 7 × 47"
659,1.00152,"659"
660,3.05455,"2^2 × 3 × 5 × 11"
661,1.00151,"661"
662,1.50453,"2 × 331"
663,1.52036,"3 × 13 × 17"
664,1.89759,"2^3 × 83"
665,1.44361,"5 × 7 × 19"
666,2.22523,"2 × 3^2 × 37"
667,1.07946,"23 × 29"
668,1.76048,"2^2 × 167"
669,1.33931,"3 × 223"
670,1.82687,"2 × 5 × 67"
671,1.10879,"11 × 61"
672,3,"2^5 × 3 × 7"
673,1.00149,"673"
674,1.50445,"2 × 337"
675,1.83704,"3^3 × 5^2"
676,1.89497,"2^2 × 13^2"
677,1.00148,"677"
678,2.0177,"2 × 3 × 113"
679,1.15464,"7 × 97"
680,2.38235,"2^3 × 5 × 17"
681,1.33921,"3 × 227"
682,1.68915,"2 × 11 × 31"
683,1.00146,"683"
684,2.66082,"2^2 × 3^2 × 19"
685,1.20876,"5 × 137"
686,1.74927,"2 × 7^3"
687,1.33916,"3 × 229"
688,1.98256,"2^4 × 43"
689,1.09724,"13 × 53"
690,2.50435,"2 × 3 × 5 × 23"
691,1.00145,"691"
692,1.76012,"2^2 × 173"
693,1.80087,"3^2 × 7 × 11"
694,1.50432,"2 × 347"
695,1.20863,"5 × 139"
696,2.58621,"2^3 × 3 × 29"
697,1.08465,"17 × 41"
698,1.5043,"2 × 349"
699,1.33906,"3 × 233"
700,2.48,"2^2 × 5^2 × 7"
701,1.00143,"701"
702,2.39316,"2 × 3^3 × 13"
703,1.08108,"19 × 37"
704,2.16477,"2^6 × 11"
705,1.63404,"3 × 5 × 47"
706,1.50425,"2 × 353"
707,1.15417,"7 × 101"
708,2.37288,"2^2 × 3 × 59"
709,1.00141,"709"
710,1.82535,"2 × 5 × 71"
711,1.46273,"3^2 × 79"
712,1.89607,"2^3 × 89"
713,1.07714,"23 × 31"
714,2.42017,"2 × 3 × 7 × 17"
715,1.40979,"5 × 11 × 13"
716,1.75978,"2^2 × 179"
717,1.33891,"3 × 239"
718,1.50418,"2 × 359"
719,1.00139,"719"
720,3.35833,"2^4 × 3^2 × 5"
721,1.15395,"7 × 103"
722,1.5831,"2 × 19^2"
723,1.33887,"3 × 241"
724,1.75967,"2^2 × 181"
725,1.28276,"5^2 × 29"
726,2.19835,"2 × 3 × 11^2"
727,1.00138,"727"
728,2.30769,"2^3 × 7 × 13"
729,1.49931,"3^6"
730,1.82466,"2 × 5 × 73"
731,1.08345,"17 × 43"
732,2.37158,"2^2 × 3 × 61"
733,1.00136,"733"
734,1.50409,"2 × 367"
735,1.86122,"3 × 5 × 7^2"
736,2.05435,"2^5 × 23"
